"","Overall","Bangladesh","DRC","Haiti","Malawi","Nepal","Senegal","Tanzania","p","test"
"   (-Inf,5]","4938.8 (64.4)","1407.8 (95.9)","142.4 (13.0)","910.8 (92.5)","876.8 (91.0)","650.6 (69.5)","568.6 (53.7)","381.8 (32.8)","",""
"   (5,10]","1288.3 (16.8)","60.7 (4.1)","99.8 (9.1)","74.1 (7.5)","85.0 (8.8)","224.7 (24.0)","244.3 (23.1)","499.7 (43.0)","",""
"   (10, Inf]","1444.4 (18.8)","0.0 (0.0)","853.6 (77.9)","0.0 (0.0)","2.0 (0.2)","60.2 (6.4)","246.9 (23.3)","281.7 (24.2)","",""
"travel_quartile (%)","","","","","","","","","<0.001",""
"   1","2045.1 (26.7)","472.7 (32.2)","301.7 (27.5)","243.8 (24.8)","240.9 (25.0)","209.5 (22.4)","307.0 (29.0)","269.6 (23.2)","",""
"   2","1921.4 (25.0)","277.3 (18.9)","271.5 (24.8)","241.9 (24.6)","241.3 (25.0)","293.1 (31.3)","288.6 (27.2)","307.6 (26.4)","",""
"   3","1846.5 (24.1)","324.5 (22.1)","276.0 (25.2)","251.1 (25.5)","242.5 (25.2)","210.0 (22.4)","243.9 (23.0)","298.7 (25.7)","",""
"   4","1858.4 (24.2)","394.1 (26.8)","246.7 (22.5)","248.1 (25.2)","239.0 (24.8)","222.9 (23.8)","220.3 (20.8)","287.4 (24.7)","",""
"hhwealth_quartile (%)","","","","","","","","","<0.001",""
"   1","1894.7 (24.7)","367.7 (25.0)","233.1 (21.3)","249.8 (25.4)","241.4 (25.0)","264.9 (28.3)","241.8 (22.8)","295.9 (25.4)","",""
"   2","2012.2 (26.2)","357.5 (24.3)","284.8 (26.0)","246.8 (25.1)","240.0 (24.9)","282.0 (30.1)","248.3 (23.4)","352.8 (30.3)","",""
"   3","1896.9 (24.7)","358.5 (24.4)","248.9 (22.7)","242.4 (24.6)","238.2 (24.7)","248.7 (26.6)","285.7 (27.0)","274.5 (23.6)","",""
"   4","1867.2 (24.3)","384.7 (26.2)","329.0 (30.0)","245.9 (25.0)","244.2 (25.3)","139.9 (15.0)","283.4 (26.8)","240.0 (20.6)","",""
"amitriptyline = 1 (%)","662.2 (8.2)","36.2 (2.4)","41.3 (3.0)","38.0 (3.8)","349.1 (36.2)","70.8 (7.5)","2.2 (0.2)","124.8 (10.7)","<0.001",""
"diazepam = 1 (%)","3710.4 (46.1)","75.5 (5.0)","865.6 (63.7)","232.9 (23.3)","752.2 (78.1)","83.5 (8.9)","842.6 (76.1)","858.1 (73.7)","<0.001",""
